09:02:57.861 [XNIO-1 task-1]  mqU8l2_HRRyR5Jin7mg9uQ DEBUG com.networknt.schema.TypeValidator debug - validate( "920f67ac-061d-4f4f-91a4-e92bcfcb4ccc", {"password":"a54c83b5-79b9-4b55-8de6-bb90a71761ea","newPassword":"920f67ac-061d-4f4f-91a4-e92bcfcb4ccc","newPasswordConfirm":"920f67ac-061d-4f4f-91a4-e92bcfcb4ccc"}, requestBody.newPassword)
09:02:57.877 [XNIO-1 task-1]  rH1Qwv9CTJ2kl3WMGnSiTA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/826ea71b, base path is set to: null
09:02:57.877 [XNIO-1 task-1]  rH1Qwv9CTJ2kl3WMGnSiTA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:57.877 [XNIO-1 task-1]  rH1Qwv9CTJ2kl3WMGnSiTA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:57.877 [XNIO-1 task-1]  rH1Qwv9CTJ2kl3WMGnSiTA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/826ea71b, base path is set to: null
09:02:57.877 [XNIO-1 task-1]  rH1Qwv9CTJ2kl3WMGnSiTA DEBUG com.networknt.schema.TypeValidator debug - validate( "826ea71b", "826ea71b", userId)
09:02:57.884 [XNIO-1 task-1]  4dOl5iuKQ0qqXy3qG88aDQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.884 [XNIO-1 task-1]  4dOl5iuKQ0qqXy3qG88aDQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.884 [XNIO-1 task-1]  4dOl5iuKQ0qqXy3qG88aDQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.884 [XNIO-1 task-1]  4dOl5iuKQ0qqXy3qG88aDQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
09:02:57.890 [XNIO-1 task-1]  gd5b5NjgR4W_ZYVRKYVWPw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.890 [XNIO-1 task-1]  gd5b5NjgR4W_ZYVRKYVWPw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.891 [XNIO-1 task-1]  gd5b5NjgR4W_ZYVRKYVWPw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.902 [XNIO-1 task-1]  zKd8G1wqQfWpkpgwZcKNow DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/fb0dec17
09:02:57.902 [XNIO-1 task-1]  zKd8G1wqQfWpkpgwZcKNow DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.902 [XNIO-1 task-1]  zKd8G1wqQfWpkpgwZcKNow DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:57.902 [XNIO-1 task-1]  zKd8G1wqQfWpkpgwZcKNow DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/{userId}
09:02:57.902 [XNIO-1 task-1]  zKd8G1wqQfWpkpgwZcKNow DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/password/fb0dec17
09:02:57.902 [XNIO-1 task-1]  zKd8G1wqQfWpkpgwZcKNow DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"62ea7a03-83d6-45f0-b384-427e6821daef","newPassword":"b4618af2-be81-4bb8-bd78-f393eb1df420","newPasswordConfirm":"b4618af2-be81-4bb8-bd78-f393eb1df420"}, {"password":"62ea7a03-83d6-45f0-b384-427e6821daef","newPassword":"b4618af2-be81-4bb8-bd78-f393eb1df420","newPasswordConfirm":"b4618af2-be81-4bb8-bd78-f393eb1df420"}, requestBody)
09:02:57.903 [XNIO-1 task-1]  zKd8G1wqQfWpkpgwZcKNow DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"62ea7a03-83d6-45f0-b384-427e6821daef","newPassword":"b4618af2-be81-4bb8-bd78-f393eb1df420","newPasswordConfirm":"b4618af2-be81-4bb8-bd78-f393eb1df420"}, {"password":"62ea7a03-83d6-45f0-b384-427e6821daef","newPassword":"b4618af2-be81-4bb8-bd78-f393eb1df420","newPasswordConfirm":"b4618af2-be81-4bb8-bd78-f393eb1df420"}, requestBody)
09:02:57.903 [XNIO-1 task-1]  zKd8G1wqQfWpkpgwZcKNow DEBUG com.networknt.schema.FormatValidator debug - validate( "b4618af2-be81-4bb8-bd78-f393eb1df420", {"password":"62ea7a03-83d6-45f0-b384-427e6821daef","newPassword":"b4618af2-be81-4bb8-bd78-f393eb1df420","newPasswordConfirm":"b4618af2-be81-4bb8-bd78-f393eb1df420"}, requestBody.newPasswordConfirm)
09:02:57.903 [XNIO-1 task-1]  zKd8G1wqQfWpkpgwZcKNow DEBUG com.networknt.schema.FormatValidator debug - validate( "62ea7a03-83d6-45f0-b384-427e6821daef", {"password":"62ea7a03-83d6-45f0-b384-427e6821daef","newPassword":"b4618af2-be81-4bb8-bd78-f393eb1df420","newPasswordConfirm":"b4618af2-be81-4bb8-bd78-f393eb1df420"}, requestBody.password)
09:02:57.903 [XNIO-1 task-1]  zKd8G1wqQfWpkpgwZcKNow DEBUG com.networknt.schema.FormatValidator debug - validate( "b4618af2-be81-4bb8-bd78-f393eb1df420", {"password":"62ea7a03-83d6-45f0-b384-427e6821daef","newPassword":"b4618af2-be81-4bb8-bd78-f393eb1df420","newPasswordConfirm":"b4618af2-be81-4bb8-bd78-f393eb1df420"}, requestBody.newPassword)
09:02:57.918 [XNIO-1 task-1]  PTCNWxdxTDmtjVCV1kbAgg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.918 [XNIO-1 task-1]  PTCNWxdxTDmtjVCV1kbAgg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.919 [XNIO-1 task-1]  PTCNWxdxTDmtjVCV1kbAgg DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.925 [hz._hzInstance_1_dev.partition-operation.thread-2]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:4f32aef4
09:02:57.933 [XNIO-1 task-1]  XODXdMDqTD2bS8ArXojJUg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/4f32aef4, base path is set to: null
09:02:57.933 [XNIO-1 task-1]  XODXdMDqTD2bS8ArXojJUg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:57.933 [XNIO-1 task-1]  XODXdMDqTD2bS8ArXojJUg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:57.933 [XNIO-1 task-1]  XODXdMDqTD2bS8ArXojJUg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
09:02:57.933 [XNIO-1 task-1]  XODXdMDqTD2bS8ArXojJUg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/4f32aef4, base path is set to: null
09:02:57.933 [XNIO-1 task-1]  XODXdMDqTD2bS8ArXojJUg DEBUG com.networknt.schema.TypeValidator debug - validate( "4f32aef4", "4f32aef4", userId)
09:02:57.933 [XNIO-1 task-1]  XODXdMDqTD2bS8ArXojJUg DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"6487e71d-2f8f-4af3-88ca-032c09907ad9","newPassword":"c0827092-72ae-42eb-afd6-03b647b2bcb6","newPasswordConfirm":"c0827092-72ae-42eb-afd6-03b647b2bcb6"}, {"password":"6487e71d-2f8f-4af3-88ca-032c09907ad9","newPassword":"c0827092-72ae-42eb-afd6-03b647b2bcb6","newPasswordConfirm":"c0827092-72ae-42eb-afd6-03b647b2bcb6"}, requestBody)
09:02:57.933 [XNIO-1 task-1]  XODXdMDqTD2bS8ArXojJUg DEBUG com.networknt.schema.TypeValidator debug - validate( "c0827092-72ae-42eb-afd6-03b647b2bcb6", {"password":"6487e71d-2f8f-4af3-88ca-032c09907ad9","newPassword":"c0827092-72ae-42eb-afd6-03b647b2bcb6","newPasswordConfirm":"c0827092-72ae-42eb-afd6-03b647b2bcb6"}, requestBody.newPasswordConfirm)
09:02:57.933 [XNIO-1 task-1]  XODXdMDqTD2bS8ArXojJUg DEBUG com.networknt.schema.TypeValidator debug - validate( "6487e71d-2f8f-4af3-88ca-032c09907ad9", {"password":"6487e71d-2f8f-4af3-88ca-032c09907ad9","newPassword":"c0827092-72ae-42eb-afd6-03b647b2bcb6","newPasswordConfirm":"c0827092-72ae-42eb-afd6-03b647b2bcb6"}, requestBody.password)
09:02:57.933 [XNIO-1 task-1]  XODXdMDqTD2bS8ArXojJUg DEBUG com.networknt.schema.TypeValidator debug - validate( "c0827092-72ae-42eb-afd6-03b647b2bcb6", {"password":"6487e71d-2f8f-4af3-88ca-032c09907ad9","newPassword":"c0827092-72ae-42eb-afd6-03b647b2bcb6","newPasswordConfirm":"c0827092-72ae-42eb-afd6-03b647b2bcb6"}, requestBody.newPassword)
09:02:57.940 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:72b34c24
09:02:57.941 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:72b34c24
09:02:57.943 [hz._hzInstance_1_dev.partition-operation.thread-2]   DEBUG c.networknt.oauth.cache.UserMapStore load - Load:4f32aef4
09:02:57.948 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ServiceMapStore load - Load:72b34c24
09:02:57.950 [XNIO-1 task-1]  cSQ_dcMfRsKbz2BS_mfmJA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.950 [XNIO-1 task-1]  cSQ_dcMfRsKbz2BS_mfmJA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.950 [XNIO-1 task-1]  cSQ_dcMfRsKbz2BS_mfmJA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.962 [XNIO-1 task-1]  P7na1UNTQ72Yw4Z34jv2PQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/9b6be7d4
09:02:57.963 [XNIO-1 task-1]  P7na1UNTQ72Yw4Z34jv2PQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.963 [XNIO-1 task-1]  P7na1UNTQ72Yw4Z34jv2PQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:57.963 [XNIO-1 task-1]  P7na1UNTQ72Yw4Z34jv2PQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/9b6be7d4
09:02:57.966 [XNIO-1 task-1]  b9xF99xhQb2sYbn-qPTQkw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:57.966 [XNIO-1 task-1]  b9xF99xhQb2sYbn-qPTQkw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:57.966 [XNIO-1 task-1]  b9xF99xhQb2sYbn-qPTQkw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:57.975 [XNIO-1 task-1]  TDLzUqyIRWSCo1uJZwhDfA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/4f32aef4, base path is set to: null
09:02:57.976 [XNIO-1 task-1]  TDLzUqyIRWSCo1uJZwhDfA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:57.976 [XNIO-1 task-1]  TDLzUqyIRWSCo1uJZwhDfA DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:57.976 [XNIO-1 task-1]  TDLzUqyIRWSCo1uJZwhDfA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/4f32aef4, base path is set to: null
09:02:57.976 [XNIO-1 task-1]  TDLzUqyIRWSCo1uJZwhDfA DEBUG com.networknt.schema.TypeValidator debug - validate( "4f32aef4", "4f32aef4", userId)
09:02:57.979 [XNIO-1 task-1]  zys4i6mIQmqzO5jRv5su7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.979 [XNIO-1 task-1]  zys4i6mIQmqzO5jRv5su7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.979 [XNIO-1 task-1]  zys4i6mIQmqzO5jRv5su7Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.984 [hz._hzInstance_1_dev.partition-operation.thread-6]   DEBUG c.n.oauth.cache.ServiceMapStore delete - Delete:72b34c24
09:02:57.985 [XNIO-1 task-1]  hWRDCxlxR3-bADqrTsQoWQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/9b6be7d4
09:02:57.985 [XNIO-1 task-1]  hWRDCxlxR3-bADqrTsQoWQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:57.985 [XNIO-1 task-1]  hWRDCxlxR3-bADqrTsQoWQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:57.986 [XNIO-1 task-1]  hWRDCxlxR3-bADqrTsQoWQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/9b6be7d4
09:02:57.995 [XNIO-1 task-1]  hKhnHMsaQmi5tMkNUqgphg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:57.995 [XNIO-1 task-1]  hKhnHMsaQmi5tMkNUqgphg DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:57.995 [XNIO-1 task-1]  hKhnHMsaQmi5tMkNUqgphg DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:57.996 [hz._hzInstance_1_dev.partition-operation.thread-2]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:4f32aef4
09:02:58.001 [XNIO-1 task-1]  gp9pzqGoTXaDX_Yqex2rHw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/fb0dec17, base path is set to: null
09:02:58.001 [XNIO-1 task-1]  gp9pzqGoTXaDX_Yqex2rHw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.001 [XNIO-1 task-1]  gp9pzqGoTXaDX_Yqex2rHw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:58.002 [XNIO-1 task-1]  gp9pzqGoTXaDX_Yqex2rHw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/fb0dec17, base path is set to: null
09:02:58.002 [XNIO-1 task-1]  gp9pzqGoTXaDX_Yqex2rHw DEBUG com.networknt.schema.TypeValidator debug - validate( "fb0dec17", "fb0dec17", userId)
09:02:58.004 [XNIO-1 task-1]  IgsEAD_vQgycF0g3kSPODQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/fb0dec17
09:02:58.004 [XNIO-1 task-1]  IgsEAD_vQgycF0g3kSPODQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
09:02:58.004 [XNIO-1 task-1]  IgsEAD_vQgycF0g3kSPODQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
09:02:58.004 [XNIO-1 task-1]  IgsEAD_vQgycF0g3kSPODQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/fb0dec17
09:02:58.009 [XNIO-1 task-1]  -4bsc-23TD6I12tYXGDnmw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/4f32aef4, base path is set to: null
09:02:58.009 [XNIO-1 task-1]  -4bsc-23TD6I12tYXGDnmw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.009 [XNIO-1 task-1]  -4bsc-23TD6I12tYXGDnmw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
09:02:58.009 [XNIO-1 task-1]  -4bsc-23TD6I12tYXGDnmw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/password/{userId}
09:02:58.009 [XNIO-1 task-1]  -4bsc-23TD6I12tYXGDnmw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/password/4f32aef4, base path is set to: null
09:02:58.010 [XNIO-1 task-1]  -4bsc-23TD6I12tYXGDnmw DEBUG com.networknt.schema.TypeValidator debug - validate( "4f32aef4", "4f32aef4", userId)
09:02:58.010 [XNIO-1 task-1]  -4bsc-23TD6I12tYXGDnmw DEBUG c.networknt.schema.RequiredValidator debug - validate( {"password":"c0827092-72ae-42eb-afd6-03b647b2bcb6","newPassword":"e6bec9d6-6698-459a-95b1-e347361ab747","newPasswordConfirm":"e6bec9d6-6698-459a-95b1-e347361ab747"}, {"password":"c0827092-72ae-42eb-afd6-03b647b2bcb6","newPassword":"e6bec9d6-6698-459a-95b1-e347361ab747","newPasswordConfirm":"e6bec9d6-6698-459a-95b1-e347361ab747"}, requestBody)
09:02:58.010 [XNIO-1 task-1]  -4bsc-23TD6I12tYXGDnmw DEBUG com.networknt.schema.TypeValidator debug - validate( "e6bec9d6-6698-459a-95b1-e347361ab747", {"password":"c0827092-72ae-42eb-afd6-03b647b2bcb6","newPassword":"e6bec9d6-6698-459a-95b1-e347361ab747","newPasswordConfirm":"e6bec9d6-6698-459a-95b1-e347361ab747"}, requestBody.newPasswordConfirm)
09:02:58.010 [XNIO-1 task-1]  -4bsc-23TD6I12tYXGDnmw DEBUG com.networknt.schema.TypeValidator debug - validate( "c0827092-72ae-42eb-afd6-03b647b2bcb6", {"password":"c0827092-72ae-42eb-afd6-03b647b2bcb6","newPassword":"e6bec9d6-6698-459a-95b1-e347361ab747","newPasswordConfirm":"e6bec9d6-6698-459a-95b1-e347361ab747"}, requestBody.password)
09:02:58.010 [XNIO-1 task-1]  -4bsc-23TD6I12tYXGDnmw DEBUG com.networknt.schema.TypeValidator debug - validate( "e6bec9d6-6698-459a-95b1-e347361ab747", {"password":"c0827092-72ae-42eb-afd6-03b647b2bcb6","newPassword":"e6bec9d6-6698-459a-95b1-e347361ab747","newPasswordConfirm":"e6bec9d6-6698-459a-95b1-e347361ab747"}, requestBody.newPassword)
09:02:58.020 [hz._hzInstance_1_dev.partition-operation.thread-2]   DEBUG c.networknt.oauth.cache.UserMapStore store - Store:4f32aef4
09:02:58.025 [XNIO-1 task-1]  zuTDgPgoRPCTXqf-sh3ZQw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.025 [XNIO-1 task-1]  zuTDgPgoRPCTXqf-sh3ZQw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.025 [XNIO-1 task-1]  zuTDgPgoRPCTXqf-sh3ZQw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.037 [XNIO-1 task-1]  wt-Iz4o8R9qknhDErGjR_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.037 [XNIO-1 task-1]  wt-Iz4o8R9qknhDErGjR_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
09:02:58.037 [XNIO-1 task-1]  wt-Iz4o8R9qknhDErGjR_g DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
09:02:58.048 [XNIO-1 task-1]  qEmQaWp9Tui5lR_OzKNR8A DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/951fcb1f, base path is set to: null
09:02:58.049 [XNIO-1 task-1]  qEmQaWp9Tui5lR_OzKNR8A DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
