17:00:39.530 [XNIO-1 task-1]  3hlNntToQtOm73AOXr4kRQ DEBUG com.networknt.schema.TypeValidator debug - validate( {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, requestBody)
17:00:39.531 [XNIO-1 task-1]  3hlNntToQtOm73AOXr4kRQ DEBUG c.n.schema.PropertiesValidator debug - validate( {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, requestBody)
17:00:39.531 [XNIO-1 task-1]  3hlNntToQtOm73AOXr4kRQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1df58163-41bc-4d70-893a-29d3b5c59b62", {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, requestBody.newPasswordConfirm)
17:00:39.531 [XNIO-1 task-1]  3hlNntToQtOm73AOXr4kRQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1d79fe08-ee9f-4141-b856-5c00f4cf7319", {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, requestBody.password)
17:00:39.532 [XNIO-1 task-1]  3hlNntToQtOm73AOXr4kRQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1df58163-41bc-4d70-893a-29d3b5c59b62", {"password":"1d79fe08-ee9f-4141-b856-5c00f4cf7319","newPassword":"1df58163-41bc-4d70-893a-29d3b5c59b62","newPasswordConfirm":"1df58163-41bc-4d70-893a-29d3b5c59b62"}, requestBody.newPassword)
17:00:39.559 [XNIO-1 task-1]  b-gkOr7vSEueG4prmJhIsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/91cbd1ea
17:00:39.559 [XNIO-1 task-1]  b-gkOr7vSEueG4prmJhIsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
17:00:39.559 [XNIO-1 task-1]  b-gkOr7vSEueG4prmJhIsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
17:00:39.559 [XNIO-1 task-1]  b-gkOr7vSEueG4prmJhIsQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/91cbd1ea
17:00:39.564 [XNIO-1 task-1]  Lz4r8SW2RsSP5JcUYBKWKw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/91cbd1ea, base path is set to: null
17:00:39.564 [XNIO-1 task-1]  Lz4r8SW2RsSP5JcUYBKWKw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
