18:00:39.120 [XNIO-1 task-1]  -1Uc2lwuTU22Urz_BEBF1g DEBUG com.networknt.schema.TypeValidator debug - validate( "b625893d", "b625893d", userId)
18:00:39.131 [XNIO-1 task-1]  oCYJWM_9QG6PCdKNYrDUqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.131 [XNIO-1 task-1]  oCYJWM_9QG6PCdKNYrDUqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.131 [XNIO-1 task-1]  oCYJWM_9QG6PCdKNYrDUqA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.132 [XNIO-1 task-1]  oCYJWM_9QG6PCdKNYrDUqA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
18:00:39.189 [XNIO-1 task-1]  4crH975tRVCwA82FgICXxA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.190 [XNIO-1 task-1]  4crH975tRVCwA82FgICXxA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.190 [XNIO-1 task-1]  4crH975tRVCwA82FgICXxA DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.193 [XNIO-1 task-1]  4crH975tRVCwA82FgICXxA DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
18:00:39.203 [XNIO-1 task-1]  IYRUdK5zQOyfPQDiD1XazQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.203 [XNIO-1 task-1]  IYRUdK5zQOyfPQDiD1XazQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.203 [XNIO-1 task-1]  IYRUdK5zQOyfPQDiD1XazQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.204 [XNIO-1 task-1]  IYRUdK5zQOyfPQDiD1XazQ DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
18:00:39.224 [XNIO-1 task-1]  8Or3rFjcSgCHsaPTjrOlEw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/b625893d
18:00:39.224 [XNIO-1 task-1]  8Or3rFjcSgCHsaPTjrOlEw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.224 [XNIO-1 task-1]  8Or3rFjcSgCHsaPTjrOlEw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:39.224 [XNIO-1 task-1]  8Or3rFjcSgCHsaPTjrOlEw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/b625893d
18:00:39.235 [XNIO-1 task-1]  4iOuEb0ES1y6Gk0HUBtxnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.235 [XNIO-1 task-1]  4iOuEb0ES1y6Gk0HUBtxnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.236 [XNIO-1 task-1]  4iOuEb0ES1y6Gk0HUBtxnw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.253 [XNIO-1 task-1]  TmfCLrPEQJa6oT6kMnRetQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.254 [XNIO-1 task-1]  TmfCLrPEQJa6oT6kMnRetQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.254 [XNIO-1 task-1]  TmfCLrPEQJa6oT6kMnRetQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.334 [XNIO-1 task-1]  nwltAa_jRvCdnbgGyrcLoQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b625893d, base path is set to: null
18:00:39.334 [XNIO-1 task-1]  nwltAa_jRvCdnbgGyrcLoQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.334 [XNIO-1 task-1]  nwltAa_jRvCdnbgGyrcLoQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user/{userId}
18:00:39.334 [XNIO-1 task-1]  nwltAa_jRvCdnbgGyrcLoQ DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user/b625893d, base path is set to: null
18:00:39.335 [XNIO-1 task-1]  nwltAa_jRvCdnbgGyrcLoQ DEBUG com.networknt.schema.TypeValidator debug - validate( "b625893d", "b625893d", userId)
18:00:39.343 [XNIO-1 task-1]  EEosYcfMQtCA76xQaouWsw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/b625893d
18:00:39.343 [XNIO-1 task-1]  EEosYcfMQtCA76xQaouWsw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.343 [XNIO-1 task-1]  EEosYcfMQtCA76xQaouWsw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:39.343 [XNIO-1 task-1]  EEosYcfMQtCA76xQaouWsw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/b625893d
18:00:39.371 [XNIO-1 task-1]  R0NjfbLWRHqC8AzPnz2etw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.372 [XNIO-1 task-1]  R0NjfbLWRHqC8AzPnz2etw DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.372 [XNIO-1 task-1]  R0NjfbLWRHqC8AzPnz2etw DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.372 [XNIO-1 task-1]  R0NjfbLWRHqC8AzPnz2etw DEBUG com.networknt.schema.TypeValidator debug - validate( "1", "1", page)
18:00:39.379 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ClientMapStore load - Load:961c514d-81f3-437c-8602-215f1d79ff0e
18:00:39.399 [hz._hzInstance_1_dev.partition-operation.thread-12]   DEBUG c.n.oauth.cache.ClientMapStore store - Store:961c514d-81f3-437c-8602-215f1d79ff0e
18:00:39.399 [hz._hzInstance_1_dev.partition-operation.thread-3]   DEBUG c.n.oauth.cache.ServiceMapStore store - Store:63faab8a
18:00:39.465 [XNIO-1 task-1]  AhSTTEJfQkSyi2asVdmK8Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.472 [XNIO-1 task-1]  AhSTTEJfQkSyi2asVdmK8Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path =/oauth2/user
18:00:39.473 [XNIO-1 task-1]  AhSTTEJfQkSyi2asVdmK8Q DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
18:00:39.473 [XNIO-1 task-1]  AhSTTEJfQkSyi2asVdmK8Q DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.477 [XNIO-1 task-1]  AhSTTEJfQkSyi2asVdmK8Q DEBUG com.networknt.schema.FormatValidator debug - validate( "1", "1", page)
18:00:39.504 [XNIO-1 task-1]  CtpfMgJaTXivV8pLEALZcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.504 [XNIO-1 task-1]  CtpfMgJaTXivV8pLEALZcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.504 [XNIO-1 task-1]  CtpfMgJaTXivV8pLEALZcQ DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.539 [XNIO-1 task-1]  7TCSI4B2RKyPSIudmQdVWw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/0b9ff68e
18:00:39.539 [XNIO-1 task-1]  7TCSI4B2RKyPSIudmQdVWw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user
18:00:39.539 [XNIO-1 task-1]  7TCSI4B2RKyPSIudmQdVWw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/{userId}
18:00:39.540 [XNIO-1 task-1]  7TCSI4B2RKyPSIudmQdVWw DEBUG c.n.openapi.ApiNormalisedPath <init> - normalised = /oauth2/user/0b9ff68e
18:00:39.553 [XNIO-1 task-1]  JzJ6Vb89TU6jfiNXFMFmUA DEBUG c.n.openapi.ApiNormalisedPath <init> - path = /oauth2/user, base path is set to: null
